text,type,typeId,Description
Початок,Start/End,creately.flowchart.startend,
Отримати значення логіна та пароля з текстових полів.,Process,creately.flowchart.process,
Отримується шлях до системної змінної ""TEMP"".,Process,creately.flowchart.process,
Створюється шлях до файлу бази даних з використанням значення логіна і шляху ""TEMP"".,Process,creately.flowchart.process,
Відкривається файл для читання,Process,creately.flowchart.process,
Файл відкрито?,Decision,creately.flowchart.decision,
Зчитуються рядки з файлу.,Process,creately.flowchart.process,
Знаходиться рядок зі словом ""Login:"" і отримується значення логіна.,Process,creately.flowchart.process,
"Знаходиться рядок зі словом ""Password:"" і отримується значення пароля.
Файл закривається.",Process,creately.flowchart.process,
Логін і пароль підходять?,Decision,creately.flowchart.decision,
Створюється і показується форма InfoForm у вигляді діалогового вікна.,Process,creately.flowchart.process,
Виводиться повідомлення про помилку ""Невірний логін або пароль"".,Process,creately.flowchart.process,
Виводиться повідомлення про помилку ""Не можу знайти такого користувача"",Process,creately.flowchart.process,